timestamp,key
5.900,d
6.350,f
6.700,j
7.000,k
7.350,j
7.650,f
7.950,d
8.350,"k,f"
9.000,"j,d"
9.350,"j,d"
9.650,j
9.700,d
9.950,j
10.000,d
10.250,k
10.300,f
10.600,f
10.650,k
10.950,f
11.000,k
11.300,"f,k"
11.600,"k,d"
11.900,d
11.950,k
12.250,k
12.300,d
12.550,"k,d"
12.900,"d,f,j"
12.950,k
13.400,"f,d,j"
13.450,k
13.900,"j,f"
13.950,"k,d"
14.250,"k,d"
14.550,"d,k"
14.900,d
14.950,k
15.200,k
15.250,d
15.550,f
15.600,j
15.900,"f,j"
16.250,"j,f"
16.550,"f,j"
16.850,"j,f,k"
16.900,d
17.350,d
17.400,"f,j,k"
17.800,d
17.850,"f,j,k"
18.150,"f,j"
18.200,"k,d"
18.650,f
18.700,"j,k,d"
19.000,"f,d"
19.050,"j,k"
19.350,d
19.700,f
20.050,j
20.150,j
20.350,k
20.700,d
21.000,f
21.350,j
21.500,j
21.650,k
22.000,d
22.300,f
22.600,j
22.750,j
22.950,k
23.300,d
23.600,f
23.950,j
24.100,j
24.300,k
24.600,d
24.950,f
25.250,j
25.400,j
25.600,k
25.900,d
26.250,f
26.600,j
26.750,j
26.900,k
27.250,d
27.600,f
27.900,j
28.050,j
28.250,k
28.550,"j,f,k"
28.600,d
28.850,k
28.900,"j,f,d"
29.200,"d,f"
29.250,"j,k"
29.850,k
30.150,j
30.500,f
30.650,f
30.850,d
31.150,k
31.500,j
31.800,f
32.000,f
32.150,d
32.500,k
32.800,j
33.100,f
33.300,f
33.450,d
33.800,k
34.100,j
34.450,f
34.600,f
34.750,d
35.100,k
35.450,j
35.750,f
35.900,f
36.100,d
36.450,k
36.750,j
37.100,f
37.250,f
37.400,d
37.750,k
38.050,j
38.350,f
38.550,f
38.750,d
39.150,k
39.450,j
39.750,f
39.900,f
40.100,d
40.400,j
40.450,"f,k,d"
40.950,"f,j"
41.000,"k,d"
41.350,"j,k,f"
41.400,d
41.800,"d,k"
42.300,"d,k"
42.650,"k,d"
43.100,"f,j"
43.550,f
43.600,j
43.950,"f,j"
44.400,"d,k"
44.700,"d,k"
45.050,d
45.100,k
45.350,"k,d"
45.700,"d,j"
46.000,f
46.050,k
46.350,"j,d"
46.650,"k,f"
47.000,"d,j"
47.350,"f,k"
47.700,"d,j"
48.000,"k,f"
48.350,"j,d"
48.650,f
48.700,k
49.000,j
49.050,d
49.350,"f,k"
49.650,"j,d"
49.950,f
50.000,j
50.300,"j,f"
50.600,"f,j"
50.950,"k,d"
51.250,d
51.300,k
51.600,"d,k"
51.900,d
51.950,k
52.250,j
52.550,f
52.700,j
52.850,f
53.600,"k,d"
53.900,k
53.950,d
54.250,"d,k"
54.550,"k,d"
54.900,j
55.200,f
55.350,j
55.500,f
56.250,d
56.550,f
56.700,j
57.050,k
57.250,j
57.550,f
57.850,d
58.050,f
58.350,j
58.500,k
58.850,k
59.150,j
59.300,j
59.650,f
59.950,f
60.200,d
60.500,d
60.800,d
61.100,d
61.450,f
61.500,"j,k"
61.800,"f,d,j,k"
62.100,"j,k"
62.150,"f,d"
62.450,"d,f,j,k"
62.750,"f,j,k"
62.800,d
63.050,j
63.100,"k,f,d"
63.400,"f,d,j"
63.450,k
63.700,j
63.750,"f,k,d"
64.050,j
64.100,f
64.400,"j,f"
64.700,f
64.750,j
65.000,f
65.050,j
65.350,k
65.400,d
65.700,"d,k"
66.050,"d,k"
66.400,"d,k"
66.700,k
67.050,k
67.400,k
67.650,k
68.000,j
68.350,j
68.700,j
69.000,j
69.350,f
69.650,f
70.000,f
70.300,f
70.650,d
71.000,d
71.300,d
71.600,d
72.000,f
72.300,j
72.600,k
72.900,j
73.200,f
73.550,d
73.900,f
74.250,j
74.600,k
74.900,j
75.200,f
75.500,d
75.900,f
76.200,j
76.550,k
76.850,j
77.200,f
77.500,d
77.850,f
78.200,j
78.500,k
78.850,j
79.200,f
79.450,d
79.800,f
80.150,j
80.450,k
80.800,j
81.150,f
81.450,d
81.750,f
82.100,j
82.400,k
82.450,d
82.950,"d,k"
83.400,"d,k"
83.750,"j,f"
84.250,"f,j"
84.750,"f,j"
85.100,"d,j"
85.600,"j,d"
86.050,"d,j"
86.350,"k,f"
86.850,"f,k"
87.300,f
87.350,k
87.650,d
87.700,j
88.000,j
88.050,d
88.350,"j,d"
88.650,"j,d"
88.950,"f,k"
89.250,f
89.300,k
89.600,f
89.650,k
89.950,f
90.000,k
90.300,"j,f"
90.650,"f,j"
90.950,j
91.000,f
91.350,"j,f"
91.650,j
91.700,f
91.950,"f,j"
92.400,"d,k"
92.600,"d,k"
92.750,d
92.800,k
